Date,Term_Premium,Risk_Premium,Stock_Prices_mom%_change,Stock_Prices_mom24mma%_change,Stock_Market_Volatility,REER,Current_Account_Balance_change_yryr%,Current_Account_Balance_over_GDP,One-Day_Repo_Rate_AVG,One-Day_Repo_Rate_EOP,Policy_Rate_&_Fed_Funds_Rate_Differential_AVG,Policy_Rate_&_Fed_Funds_Rate_Differential_EOP,Portfolio_Flows,Foreign_Exchange_Reserve_change_yryr%,Foreign_Exchange_Reserve_over_GDP,CPI yryrl,Bank Lending yryr%,Bank_Lending_mo12m%_change
2015-11,-0.82,-1.18,10.257062063027892,1.2423603719800045,-538.9842924554314,87.3151263,-48.368992248062,1.8043889487983789,1.35,1.35,1.27,1.27,-418.0,-17.45165686170568,1.0620880165233495,0.4987541511038968,-1.6379584312675866,2.136712582371483
2015-12,-0.77,-1.15,0.6397095327448942,1.2369491545362954,-672.5811761292697,87.55912948,-38.8073119568475,1.1941706837640549,1.35,1.35,1.15,1.15,361.0,-21.245043483618154,1.0146402172062412,0.8959741371471801,-0.3461126833116236,1.2420868204588036
2016-01,-1.0,-1.7,0.3204762412392633,1.226754946123233,-370.4348445432889,87.99482002,-14.0937797902765,1.1769486814847945,1.35,1.35,1.06,1.06,-270.0,-21.263190223273156,1.024932985357242,0.8959741371471801,0.56419151,0.3317826271471801
2016-02,-0.95,-1.63,-2.789354306795231,1.1798724461104069,-449.21524516569576,89.70561743,-2.55899111924846,2.102766029692855,1.35,1.35,1.06,1.06,-902.0,-16.132733318930082,1.0549594593497025,0.2995508979798371,0.6740833462480759,-0.3745324482682388
2016-03,-0.89,-1.22,13.38772304798453,1.3222730747281055,-951.9387163938794,88.58872906,12.3622471469853,3.755158756772376,1.3,1.2,1.05,0.95,-1676.0,-21.89482452415623,1.0934963917906468,-0.2002002670673079,0.3920702173608966,-0.5922704844282045
2016-04,-1.07,-1.59,1.5899953952626389,1.3187919265459511,-967.0548937785976,89.09944427,49.7164168142387,5.238795498733996,1.1785714285714286,1.05,0.8785714285714286,0.75,785.0,-28.34238558181161,1.074007003796095,0.1998002662673058,0.31770688666667,-0.1179066203993642
2016-05,-0.93,-1.64,-1.3039794072475857,1.2769527394210052,-445.8544637412582,88.28723317,142.240790169304,6.017235858506062,1.0142857142857142,0.9,0.7242857142857142,0.6100000000000001,-850.0,-31.323440200052755,0.9993038102429638,-0.2002002670673079,0.8601349249405335,-1.0603351920078414
2016-06,-0.9,-1.74,-0.7374857613855191,1.249346891015358,-491.04040425577966,88.39951866,343.905449464369,6.087560526862262,0.9,0.9,0.6000000000000001,0.6000000000000001,-182.0,-29.8617504168178,0.9151174067328496,-0.2002002670673079,1.5952237106326517,-1.7954239776999597
2016-07,-0.87,-1.45,4.947921414896526,1.291449441260955,-595.7025072078004,87.75756407,332.837324985527,6.074036048775959,0.9000000000000001,0.9,0.6000000000000001,0.6000000000000001,-880.0,-29.07517042143504,0.8535706433502758,-0.3004509020298724,1.96586669,-2.266317592029872
2016-08,-0.92,-1.35,1.234500873564928,1.282154799835505,-452.6074577436696,89.01024823,199.403104428165,6.139246486450016,0.9,0.9,0.6000000000000001,0.6000000000000001,146.0,-29.484087894341616,0.8162331013517962,-0.1000500333583534,1.527740780496921,-1.6277908138552744
